Year,pitCountCoeff,pitCount_Inter,pitCount_R2
2011.0,-0.0075319893320166175,2.7716193959790405,0.0031176763206601787
2012.0,0.023344593031326643,1.9176576743325158,0.0253412526827419
2013.0,0.02119921507670243,2.2017047653977415,0.017879114403533514
2014.0,0.027662977301658315,1.9795703170106531,0.0288198935680698
2015.0,0.026846871868396672,1.9270972124742431,0.017049378476906463
2016.0,0.014768387816091539,2.1826970939875796,0.008317271749961552
2017.0,0.015879658953181195,1.7992565055762082,0.0033142834108651487
2018.0,0.02977697230267755,1.1667978738898857,0.05392172661291017
2019.0,0.003957922998206446,1.5646317712173061,0.0005706529190533383
2020.0,0.01142212497901652,1.8476642188313555,0.003246079621142095
2021.0,0.005388974545869997,1.9850420390548231,0.0007229561514729976
2022.0,0.01888345395270206,1.797458227673071,0.01195120366436353
